num,serial,ID,text,image,cat_abbr,,real_answer,num_blanks,num_answers,li_a_cats,li_a_tenses,li_a_serials,str_a_cats,str_a_tenses,str_a_serials
1,000001,Question_000001,The cops nabbed me for ___.,,s,statement,,,,,,,,,
2,000002,Question_000002,"___, they're magically delicious!",,e,exclamation,,,,,,,,,
3,000003,Question_000003,"For a quick jolt of energy, you can't beat ___.",,s,statement,,,,,,,,,
4,000004,Question_000004,___ is my middle name.,,s,statement,,,,,,,,,
5,000005,Question_000005,"I'm so hungry, I could eat a ___. (horse)",,s,statement,,,,,,,,,
6,000006,Question_000006,Hey! I just met you...and this is crazy...but here's ___...so call me maybe! (my number),,l,lyric,,,,,,,,,
7,000007,Question_000007,"In response to intense pressure from fans, J.K. Rowling is writing an 8th book called Harry Potter and ___. (IT)",,s,statement,,,,,,,,,
8,000008,Question_000008,"Instead of finishing the (IT) Game of Thrones series of books, George R.R. Martin decided to ___.",,s,statement,,,,,,,,,
9,000009,Question_000009,"Why settle for ___ when, for a little bit more money, you can get ___!",,e,exclamation,,,,,,,,,
10,000010,Question_000010,"Instead of washing machines and grandfather clocks, (IT) The Price is Right gave away ___ to boost ratings.",,s,statement,,,,,,,,,
11,000011,Question_000011,Captain Jack Sparrow is back for more swash-buckling adventure in (IT) Pirates of the Caribbean: The Curse of ___.,,s,statement,,,,,,,,,
12,000012,Question_000012,Johnny Depp and Keira Knightley are back for more swash-buckling adventures in (IT) Pirates of the Caribbean: The Curse of ___.,,s,statement,,,,,,,,,
13,000013,Question_000013,I know what you did last summer. ___.,,s,statement,,,,,,,,,
14,000014,Question_000014,All I want for Christmas is ___.,,s,statement,,,,,,,,,
15,000015,Question_000015,"___, the Breakfast of Champions.",,s,statement,,,,,,,,,
16,000016,Question_000016,___ is the most fun you can have without taking your clothes off.,,s,statement,,,,,,,,,
17,000017,Question_000017,The first 500 callers will receive a free ___! Call now!,,e,exclamation,,,,,,,,,
18,000018,Question_000018,I'm so tired of people needing a reason for doing everything in their lives. Do it because you want to. Because it's fun. Because ___.,,s,statement,,,,,,,,,
19,000019,Question_000019,"Sometimes the right person was there all along, but you never saw them because ___ was in the way.",,s,statement,,,,,,,,,
20,000020,Question_000020,All Americans have more hope for humanity knowing that they've just elected the first ___ president of the United States.,,s,statement,,,,,,,,,
21,000021,Question_000021,How many licks does it take to get to the center of ___?,,n,question,,,,,,,,,
22,000022,Question_000022,"___, you say? That's the understatement of the century.",,s,statement,,,,,,,,,
23,000023,Question_000023,"After a heated worldwide election, it was decided that ___ would join the first party sent to colonize Mars.",,s,statement,,,,,,,,,
24,000024,Question_000024,"Dear Diary, Today I met ___, and now all I can think about is ___.",,s,statement,,,,,,,,,
25,000025,Question_000025,"Santa's army of elves couldn't keep up with worldwide demand this year, so he had to hire ___.",,s,statement,,,,,,,,,
26,000026,Question_000026,Everyone was amazed when David Blaine magically ___.,,s,statement,,,,,,,,,
27,000027,Question_000027,"Most people replied supportively to my Facebook post about getting into college, but there's always that one person who has to ruin it by saying something like: """". (@ Good luck finding shameful entry-level employment )",,s,statement,,,,,,,,,
28,000028,Question_000028,Happy Birthday! ___! (@ Now you've reached an age that has no significance at all),,e,exclamation,,,,,,,,,
29,000029,Question_000029,Sorry I ___. Friends? (@ was psychotically jealous),,s,statement,,,,,,,,,
30,000030,Question_000030,Let's take this relationship to the next level. We should definitely ___.,,s,statement,,,,,,,,,
31,000031,Question_000031,I'd do anything for you except ___.,,s,statement,,,,,,,,,
32,000032,Question_000032,I would do anything for love. But I won't ___.,,l,lyric,,,,,,,,,
33,000033,Question_000033,Humpty-Dumpty sat on a wall. Humpty-Dumpty had a big ___.,,s,statement,,,,,,,,,
34,000034,Question_000034,"The standards of singing on American Idol have reached a new low. In its 75th season, ___ won.",,s,statement,,,,,,,,,
